datetime;Engine rpm;Lub oil pressure;Fuel pressure;Coolant pressure;lub oil temp;Coolant temp;Engine Condition
2:29:58;870;"3,296781251";"7,924853405";"1,223904232";"78,24783212";"75,14717262";1
2:29:59;883;"2,560432429";"5,920421905";"2,495216968";"77,31522572";"81,01646253";0
2:30:00;1306;"4,192702288";"7,469689135";"1,57781419";"74,28226429";"73,64617157";0
2:30:01;618;"3,967138997";"5,503652732";"2,469425862";"82,13128636";"85,8346765";1
2:30:02;850;"2,975567792";"5,63340734";"3,462602603";"83,37691643";"83,91598743";0
2:30:03;696;"4,44024547";"4,252512391";"1,867280767";"77,04923078";"83,34809936";1
2:30:04;782;"4,739966699";"4,826246874";"2,998619843";"76,485319";"90,32568625";1
2:30:05;676;"2,286008237";"10,25662771";"1,409752895";"74,01774713";"74,66980357";0
2:30:06;883;"4,69685364";"8,089769702";"1,775746142";"75,46238205";"73,966454";1
2:30:07;775;"3,130122641";"14,51422342";"2,369085117";"75,62923058";"68,54143352";0
2:30:08;854;"1,66172769";"4,687666188";"2,889934141";"77,17272215";"90,69816162";0
2:30:09;1035;"3,780475275";"15,36371482";"1,469686021";"77,50650014";"75,12054647";1
2:30:10;1028;"4,035722297";"4,997359613";"2,719392661";"80,22104996";"80,66837215";0
2:30:11;662;"3,112967337";"4,042031547";"2,884084279";"76,78971869";"85,35202419";1
2:30:12;413;"1,991852775";"8,795841104";"1,547008199";"75,15242032";"86,4806402";1
2:30:13;1057;"3,726872423";"4,569508059";"2,325823325";"84,3411022";"92,11457105";0
2:30:14;523;"4,474959005";"7,703373584";"2,54149228";"75,43128294";"80,66441938";1
2:30:15;1656;"2,271249826";"8,630568482";"2,309076053";"84,5446806";"73,21575822";1
2:30:16;647;"3,398954339";"6,047638748";"1,211565693";"80,96589894";"69,27667958";1
2:30:17;1125;"2,693775787";"6,614140655";"3,644887149";"76,16738274";"81,66777527";0
2:30:18;535;"2,914749289";"6,178037334";"2,130592276";"75,38452881";"77,79083455";1
2:30:19;1232;"4,873319153";"7,793953065";"2,883599525";"77,67389398";"89,32986263";0
2:30:20;757;"2,374867122";"6,154547183";"1,233806015";"75,86892572";"71,89717437";0
2:30:21;476;"2,991101461";"15,12739964";"1,143891049";"75,7253165";"74,31121751";1
2:30:22;639;"2,289890043";"8,300949284";"3,3095891";"77,19063408";"82,43632759";1
2:30:23;1120;"3,212398953";"4,940712555";"1,703219401";"78,96635064";"80,65165141";0
2:30:24;610;"3,146517005";"6,204067981";"1,265385285";"77,12019257";"72,14786715";1
2:30:25;1531;"5,315363354";"5,837076405";"3,0919075";"75,95150612";"76,473072";0
2:30:26;1083;"1,595139212";"9,16281835";"5,186665401";"75,69991622";"87,40289321";1
2:30:27;737;"2,000300763";"5,817399006";"2,469296076";"75,99815774";"82,76655512";1
2:30:28;723;"3,534888605";"4,334906724";"2,1678852";"76,53622341";"86,39626741";1
2:30:29;743;"3,736110576";"2,009667676";"2,590164412";"74,50061968";"77,02787732";1
2:30:30;860;"2,785481771";"9,722460943";"2,332035098";"74,03746442";"75,2173921";0
2:30:31;436;"3,897132";"6,914879163";"3,365967866";"76,39163539";"88,81524761";1
2:30:32;734;"3,042130315";"2,483378831";"4,664898591";"75,94944705";"73,34530916";0
2:30:33;587;"2,43084257";"4,810308977";"1,959121974";"75,4498151";"65,10036994";1
2:30:34;798;"3,737895672";"8,887609181";"1,934869517";"73,65723251";"87,49453273";1
2:30:35;842;"2,51023108";"5,20734192";"1,137873651";"76,52034707";"80,40502026";1
2:30:36;966;"4,098319033";"5,942766513";"2,926337217";"78,33861452";"87,53103861";0
2:30:37;587;"3,461062427";"6,104340695";"4,596106906";"78,22565918";"88,3683151";0
2:30:38;966;"3,126419403";"1,227288627";"1,255899093";"75,08965124";"77,26052714";1
2:30:39;485;"2,029672111";"6,119306741";"3,303468573";"75,70647239";"86,91264987";1
